******** ウェーバーモード：武将ランキング出力 ********
ランク/LV,★5/LV20
スキルLV,ALL10
ステ振り,兵法振4 + 攻/防振0
******* 固定3武将 *******
No,武将名,R,コスト,指揮兵数,初期スキル,効果範囲,発動率(%),上昇率(%)
1015,徳川家康(大人),天,4,4350,覇道 不如帰,槍馬砲攻,30.0,30.00
1025,浅井長政(新),天,4,4300,浅井一文字,弓馬器攻,45.00,35.00
2093,山本勘助,極,3.5,3680,破軍建返し,馬攻,30.0,40.00
******* 追加スキル *******
追加スキル名,効果範囲,発動率(%),上昇率(%)
騎馬隊剛撃,馬攻,35.00,20.00
鬼刺,槍馬攻,15.00,(コスト×9)%
+++++++ 追加スキル（ランキング武将） +++++++
騎馬隊挟撃,馬攻,25.00,(コスト×6.5)%
***********************************************
"No.","R","名称","C","兵数","統率","兵法","将攻/防","実質兵数","実コス比","部隊期待値"
"1001","天","織田信長","3.5","4000","1.175","1965.0","12145","6,699","1,914","1,083,549"
"1002","天","足利義昭","1","2340","1.05","1995.0","3550","3,458","3,458","927,558"
"1003","天","武田信玄","4","4270","1.2","1965.0","12140","7,611","1,902","1,208,043"
"1004","天","上杉謙信","4","4190","1.2","1925.0","13500","7,416","1,854","1,180,981"
"1005","天","毛利元就","4","4300","1.1","2000.0","12125","6,765","1,691","1,094,985"
"1006","天","北条氏康","3.5","3990","1.15","1960.0","11490","6,536","1,867","1,077,025"
"1007","天","徳川家康","3.5","3920","1.2","1955.0","12110","6,702","1,914","1,083,512"
"1008","天","浅井長政","3.5","3930","1.175","1935.0","12115","6,804","1,944","1,157,069"
"1009","天","島津義久","3.5","3960","1.15","1975.0","11475","6,486","1,853","1,075,354"
"1010","天","長宗我部元親","3.5","3960","1.2","1945.0","12120","6,770","1,934","1,086,017"
"1011","天","大友宗麟","3.5","3970","1.125","1935.0","12080","6,360","1,817","1,069,653"
"1012","天","最上義光","3.5","3900","1.2","1985.0","11505","6,862","1,960","1,149,243"
"1013","天","伊達政宗","4","4320","1.175","1980.0","12745","7,521","1,880","1,199,100"
"1014","天","豊臣秀吉","3.5","4050","1.2","2000.0","11500","6,931","1,980","1,095,064"
"1015","天","徳川家康(大人)","4","4350","1.2","1970.0","12130","7,692","1,923","1,195,073"
"1016","天","石田三成","4","4330","1.175","1960.0","12120","7,535","1,883","1,199,355"
"1017","天","黒田如水","3.5","3950","1.175","2050.0","11510","6,638","1,896","1,088,771"
"1018","天","織田信長(新)","4","4250","1.175","1970.0","12160","7,138","1,784","1,107,414"
"1019","天","足利義昭(新)","4","4230","1.1","2000.0","12170","6,893","1,723","1,172,020"
"1020","天","武田信玄(新)","3.5","4060","1.2","1970.0","12160","7,092","2,026","1,142,800"
"1021","天","上杉謙信(新)","3.5","4020","1.2","1935.0","13510","6,972","1,992","1,119,232"
"1022","天","毛利元就(新)","3.5","4090","1.1","2010.0","11540","6,422","1,834","1,076,022"
"1023","天","北条氏康(新)","4","4310","1.15","1970.0","12160","7,363","1,840","1,197,938"
"1024","天","徳川家康(新)","1","2430","1.2","1960.0","5460","4,107","4,107","950,986"
"1025","天","浅井長政(新)","4","4300","1.175","1940.0","12130","7,549","1,887","1,218,557"
"1026","天","島津義久(新)","4","4280","1.15","1980.0","12120","7,032","1,758","1,103,422"
"1027","天","長宗我部元親(新)","4","4290","1.2","1955.0","12140","7,355","1,838","1,115,740"
"1028","天","大友宗麟(新)","4","4270","1.125","1950.0","12110","6,861","1,715","1,096,108"
"1029","天","最上義光(新)","3.5","4080","1.2","1995.0","12130","6,982","1,994","1,096,568"
"1030","天","伊達政宗(新)","4","4355","1.125","2005.0","11490","7,006","1,751","1,105,054"
"1031","天","豊臣秀吉(新)","4","4320","1.2","1980.0","12140","7,586","1,896","1,175,460"
"1032","天","石田三成(新)","3.5","4070","1.15","1970.0","11520","6,668","1,905","1,082,437"
"1033","天","黒田如水(新)","4","4260","1.175","2050.0","12150","7,425","1,856","1,197,165"
"1034","天","今川義元","4","4220","1.15","2000.0","12155","6,944","1,736","1,102,086"
"1035","天","淀","3","3800","1.15","1980.0","12110","6,276","2,092","1,082,281"
"1036","天","明智光秀","4","4340","1.175","2010.0","12760","7,633","1,908","1,225,530"
"1037","天","真田昌幸","3.5","4060","1.2","2240","10880","7,032","2,009","1,124,484"
"1038","天","雑賀孫市","3.5","4120","1.2","2260","12880","7,159","2,045","1,131,674"
"1039","天","上杉景勝","4","4390","1.2","1980.0","12180","7,900","1,975","1,240,246"
"1040","天","毛利輝元","4","4360","1.15","2020.0","11350","7,164","1,791","1,112,947"
"2001","極","本多忠勝","3","3290","1.2","1585","11545","5,749","1,916","1,085,499"
"2002","極","黒田官兵衛","2.5","2950","1.05","1980.0","10150","4,438","1,775","1,004,713"
"2003","極","島津義弘","3","3310","1.125","1650","11550","5,287","1,762","1,016,352"
"2004","極","真田昌幸","2.5","3050","1.15","1975.0","9640","4,974","1,989","1,003,354"
"2005","極","上杉謙信","2","2670","1.15","1880.0","8545","4,466","2,233","1,026,890"
"2006","極","竹中半兵衛","1","1820","1.175","1990.0","2900","3,066","3,066","943,841"
"2007","極","柳生石舟斎","2","1080","1.175","970","30965","1,836","918","859,537"
"2008","極","(旧)雑賀孫市","2.5","2940","1.125","1630","10900","4,683","1,873","986,289"
"2008","極","雑賀孫市","2.5","2960","1.1","1630","10900","4,609","1,843","983,432"
"2009","極","羽柴秀吉","3","3430","1.15","1970.0","10200","5,651","1,883","1,053,750"
