******** ウェーバーモード：武将ランキング出力 ********
ランク/LV,★5/LV20
スキルLV,ALL10
ステ振り,兵法振4 + 攻/防振0
******* 固定3武将 *******
No,武将名,R,コスト,指揮兵数,初期スキル,効果範囲,発動率(%),上昇率(%)
1015,徳川家康(大人),天,4,4350,覇道 不如帰,槍馬砲攻,30.0,30.00
1025,浅井長政(新),天,4,4300,浅井一文字,弓馬器攻,45.00,35.00
2093,山本勘助,極,3.5,3680,破軍建返し,馬攻,30.0,40.00
******* 追加スキル *******
追加スキル名,効果範囲,発動率(%),上昇率(%)
騎馬隊剛撃,馬攻,35.00,20.00
鬼刺,槍馬攻,15.00,(コスト×9)%
***********************************************
"No.","R","名称","C","兵数","統率","兵法","将攻/防","実質兵数","実コス比","部隊期待値"
"1039","天","上杉景勝","4","4390","1.2","1980.0","12180","8,096","2,024","1,302,439"
"1036","天","明智光秀","4","4340","1.175","2010.0","12760","7,825","1,956","1,287,569"
"1025","天","浅井長政(新)","4","4300","1.175","1940.0","12130","7,737","1,934","1,279,986"
"1003","天","武田信玄","4","4270","1.2","1965.0","12140","7,802","1,950","1,269,750"
"1016","天","石田三成","4","4330","1.175","1960.0","12120","7,724","1,931","1,260,933"
"1013","天","伊達政宗","4","4320","1.175","1980.0","12745","7,710","1,927","1,260,688"
"1033","天","黒田如水(新)","4","4260","1.175","2050.0","12150","7,614","1,903","1,259,406"
"1023","天","北条氏康(新)","4","4310","1.15","1970.0","12160","7,548","1,887","1,259,134"
"1015","天","徳川家康(大人)","4","4350","1.2","1970.0","12130","7,887","1,971","1,257,087"
"1004","天","上杉謙信","4","4190","1.2","1925.0","13500","7,604","1,901","1,242,335"
"1031","天","豊臣秀吉(新)","4","4320","1.2","1980.0","12140","7,779","1,944","1,237,385"
"1019","天","足利義昭(新)","4","4230","1.1","2000.0","12170","7,067","1,766","1,232,535"
"2093","極","山本勘助","3.5","3680","1.175","1980.0","12700","6,584","1,881","1,216,633"
"1008","天","浅井長政","3.5","3930","1.175","1935.0","12115","6,973","1,992","1,216,194"
"1012","天","最上義光","3.5","3900","1.2","1985.0","11505","7,034","2,009","1,208,706"
"1020","天","武田信玄(新)","3.5","4060","1.2","1970.0","12160","7,271","2,077","1,202,781"
"2712","極","龍造寺家兼","3.5","3690","1.175","1650","11540","6,551","1,871","1,197,742"
"1038","天","雑賀孫市","3.5","4120","1.2","2260","12880","7,350","2,100","1,195,248"
"2708","極","三好元長","3.5","3660","1.175","1950.0","11525","6,484","1,852","1,190,662"
"2715","極","今川氏親","3.5","3730","1.175","1670","11540","6,590","1,882","1,189,287"
"1037","天","真田昌幸","3.5","4060","1.2","2240","10880","7,220","2,062","1,187,551"
"2716","極","織田信秀","3.5","3750","1.175","1960.0","11520","6,610","1,888","1,185,945"
"2089","極","島左近(新)","3.5","3740","1.2","1580","11700","6,729","1,922","1,185,014"
"2707","極","太田道灌","3.5","3730","1.175","1960.0","10930","6,575","1,878","1,183,993"
"2087","極","最上義光","3.5","3620","1.15","1970.0","11580","6,283","1,795","1,182,670"
"1021","天","上杉謙信(新)","3.5","4020","1.2","1935.0","13510","7,149","2,042","1,179,023"
"1027","天","長宗我部元親(新)","4","4290","1.2","1955.0","12140","7,547","1,886","1,177,501"
"1040","天","毛利輝元","4","4360","1.15","2020.0","11350","7,352","1,838","1,174,804"
"2075","極","斎藤道三(新)","3.5","3550","1.2","1980.0","11500","6,384","1,824","1,173,895"
"2064","極","武田信繁","3.5","3560","1.2","1950.0","11520","6,389","1,825","1,169,108"
"1018","天","織田信長(新)","4","4250","1.175","1970.0","12160","7,324","1,831","1,168,728"
"2055","極","立花誾千代","3","3340","1.2","1610","10910","6,037","2,012","1,168,396"
"1030","天","伊達政宗(新)","4","4355","1.125","2005.0","11490","7,189","1,797","1,166,388"
"2084","極","大友宗麟","3.5","3620","1.1","1980.0","11590","5,994","1,712","1,164,692"
"1026","天","島津義久(新)","4","4280","1.15","1980.0","12120","7,216","1,804","1,164,524"
"2059","極","斎藤朝信","3","3340","1.2","1920.0","10880","6,021","2,007","1,163,345"
"1034","天","今川義元","4","4220","1.15","2000.0","12155","7,126","1,781","1,163,227"
"2045","極","武田信玄","3","3320","1.2","1645","12110","5,988","1,996","1,161,988"
"2706","極","長尾為景","3.5","3700","1.2","1920.0","11540","6,586","1,881","1,160,421"
"2031","極","黒田長政","3","3440","1.175","1620","11530","6,053","2,017","1,156,942"
"1029","天","最上義光(新)","3.5","4080","1.2","1995.0","12130","7,162","2,046","1,156,814"
"1028","天","大友宗麟(新)","4","4270","1.125","1950.0","12110","7,040","1,760","1,156,778"
"2709","極","浅井亮政","3.5","3650","1.2","1950.0","11550","6,497","1,856","1,156,098"
"1005","天","毛利元就","4","4300","1.1","2000.0","12125","6,942","1,735","1,155,732"
"1014","天","豊臣秀吉","3.5","4050","1.2","2000.0","11500","7,110","2,031","1,155,254"
"2703","極","武田信虎","3.5","3760","1.2","1630","11550","6,665","1,904","1,154,748"
"2033","極","浅野幸長","3","3450","1.175","1600","11510","6,061","2,020","1,154,570"
"2705","極","朝倉宗滴","3","3390","1.2","1640","11540","6,081","2,027","1,153,908"
"2085","極","宇喜多秀家","3","3390","1.175","1950.0","10970","5,964","1,988","1,151,382"
"2072","極","三好長慶","3","3350","1.175","1950.0","11590","5,901","1,967","1,150,903"
"2060","極","山県昌景(新)","3","3390","1.2","1620","10940","6,069","2,023","1,149,134"
"1017","天","黒田如水","3.5","3950","1.175","2050.0","11510","6,810","1,945","1,148,875"
"2038","極","井伊直虎","3","3290","1.2","1935.0","11520","5,908","1,969","1,148,763"
"1010","天","長宗我部元親","3.5","3960","1.2","1945.0","12120","6,945","1,984","1,145,574"
"2032","極","武田勝頼","3","3410","1.175","1610","10930","5,975","1,991","1,144,887"
"2046","極","森蘭丸","3","3280","1.15","1930.0","10980","5,666","1,888","1,144,856"
"1001","天","織田信長","3.5","4000","1.175","1965.0","12145","6,871","1,963","1,142,989"
"1007","天","徳川家康","3.5","3920","1.2","1955.0","12110","6,875","1,964","1,142,941"
"2041","極","柿崎景家","3","3310","1.2","1630","11520","5,924","1,974","1,142,762"
"1032","天","石田三成(新)","3.5","4070","1.15","1970.0","11520","6,840","1,954","1,141,820"
"2001","極","本多忠勝","3","3290","1.2","1585","11545","5,890","1,963","1,141,047"
"2077","極","吉川元春","3","3300","1.2","1630","11590","5,907","1,969","1,140,150"
