******** ウェーバーモード：武将ランキング出力 ********
ランク/LV,★5/LV20
スキルLV,ALL10
ステ振り,兵法振4 + 攻/防振0
******* 固定3武将 *******
No,武将名,R,コスト,指揮兵数,初期スキル,効果範囲,発動率(%),上昇率(%)
2002,黒田官兵衛,極,2.5,2950,鬼謀 国砕,上級器*,35.00,10.00
1015,徳川家康(大人),天,4,4350,覇道 不如帰,槍馬砲攻,30.0,30.00
2710,南光坊天海,極,3,3350,妙計暗躍,全,15.00,0
******* 追加スキル *******
追加スキル名,効果範囲,発動率(%),上昇率(%)
騎馬隊挟撃,馬攻,25.00,(コスト×6.5)%
+++++++ 追加スキル（ランキング武将） +++++++
騎馬隊挟撃,馬攻,25.00,26.000
***********************************************
"No.","R","名称","C","兵数","統率","兵法","将攻/防","実質兵数","実コス比","部隊期待値"
"1001","天","織田信長","3.5","4000","1.175","1965.0","12145","5,179","1,479","486,972"
"1002","天","足利義昭","1","2340","1.05","1995.0","3550","2,658","2,658","394,629"
"1003","天","武田信玄","4","4270","1.2","1965.0","12140","5,956","1,489","587,598"
"1004","天","上杉謙信","4","4190","1.2","1925.0","13500","5,792","1,448","566,263"
"1005","天","毛利元就","4","4300","1.1","2000.0","12125","5,230","1,307","494,221"
"1006","天","北条氏康","3.5","3990","1.15","1960.0","11490","5,053","1,443","483,635"
"1007","天","徳川家康","3.5","3920","1.2","1955.0","12110","5,182","1,480","487,018"
"1008","天","浅井長政","3.5","3930","1.175","1935.0","12115","5,314","1,518","553,290"
"1009","天","島津義久","3.5","3960","1.15","1975.0","11475","5,015","1,432","482,674"
"1010","天","長宗我部元親","3.5","3960","1.2","1945.0","12120","5,235","1,495","488,378"
"1011","天","大友宗麟","3.5","3970","1.125","1935.0","12080","4,918","1,405","479,988"
"1012","天","最上義光","3.5","3900","1.2","1985.0","11505","5,348","1,528","544,087"
"1013","天","伊達政宗","4","4320","1.175","1980.0","12745","5,881","1,470","580,576"
"1014","天","豊臣秀吉","3.5","4050","1.2","2000.0","11500","5,353","1,529","491,657"
"1015","天","徳川家康(大人)","4","4350","1.2","1970.0","12130","6,007","1,501","574,366"
"1016","天","石田三成","4","4330","1.175","1960.0","12120","5,893","1,473","580,819"
"1017","天","黒田如水","3.5","3950","1.175","2050.0","11510","5,117","1,462","486,375"
"1018","天","織田信長(新)","4","4250","1.175","1970.0","12160","5,524","1,381","501,920"
"1019","天","足利義昭(新)","4","4230","1.1","2000.0","12170","5,382","1,345","562,909"
"1020","天","武田信玄(新)","3.5","4060","1.2","1970.0","12160","5,517","1,576","535,094"
"1021","天","上杉謙信(新)","3.5","4020","1.2","1935.0","13510","5,411","1,546","515,810"
"1022","天","毛利元就(新)","3.5","4090","1.1","2010.0","11540","4,957","1,416","481,364"
"1023","天","北条氏康(新)","4","4310","1.15","1970.0","12160","5,763","1,440","581,934"
"1024","天","徳川家康(新)","1","2430","1.2","1960.0","5460","3,160","3,160","407,161"
"1025","天","浅井長政(新)","4","4300","1.175","1940.0","12130","5,919","1,479","598,570"
"1026","天","島津義久(新)","4","4280","1.15","1980.0","12120","5,442","1,360","499,779"
"1027","天","長宗我部元親(新)","4","4290","1.2","1955.0","12140","5,692","1,423","506,347"
"1028","天","大友宗麟(新)","4","4270","1.125","1950.0","12110","5,310","1,327","496,175"
"1029","天","最上義光(新)","3.5","4080","1.2","1995.0","12130","5,394","1,541","492,723"
"1030","天","伊達政宗(新)","4","4355","1.125","2005.0","11490","5,414","1,353","499,147"
"1031","天","豊臣秀吉(新)","4","4320","1.2","1980.0","12140","5,912","1,478","557,726"
"1032","天","石田三成(新)","3.5","4070","1.15","1970.0","11520","5,156","1,473","486,365"
"1033","天","黒田如水(新)","4","4260","1.175","2050.0","12150","5,785","1,446","573,683"
"1034","天","今川義元","4","4220","1.15","2000.0","12155","5,368","1,342","497,903"
"1035","天","淀","3","3800","1.15","1980.0","12110","4,862","1,620","492,147"
"1036","天","明智光秀","4","4340","1.175","2010.0","12760","5,975","1,493","599,933"
"1037","天","真田昌幸","3.5","4060","1.2","2240","10880","5,383","1,538","497,284"
"1038","天","雑賀孫市","3.5","4120","1.2","2260","12880","5,476","1,564","500,163"
"1039","天","上杉景勝","4","4390","1.2","1980.0","12180","6,198","1,549","612,830"
"1040","天","毛利輝元","4","4360","1.15","2020.0","11350","5,534","1,383","502,647"
