******** ウェーバーモード：武将ランキング出力 ********
ランク/LV,★0/LV20
スキルLV,ALL10
ステ振り,兵法振4 + 攻/防振0
******* 固定3武将 *******
No,武将名,R,コスト,指揮兵数,初期スキル,効果範囲,発動率(%),上昇率(%)
2002,黒田官兵衛,極,2.5,2450,鬼謀 国砕,上級器*,35.00,10.00
1015,徳川家康(大人),天,4,3850,覇道 不如帰,槍馬砲攻,30.0,30.00
2091,松永久秀,極,3,2760,爆雷平蜘蛛,全,30.0,0
******* 追加スキル *******
追加スキル名,効果範囲,発動率(%),上昇率(%)
騎馬隊挟撃,馬攻,25.00,(コスト×6.5)%
豪放磊落,槍防,40.0,20.00
***********************************************
"No.","R","名称","C","兵数","統率","兵法","将攻/防","実質兵数","実コス比","部隊期待値"
"1001","天","織田信長","3.5","3500","1.05","665.0","2265","4,141","1,183","402,604"
"1002","天","足利義昭","1","1840","0.925","695.0","950","1,902","1,902","328,699"
"1003","天","武田信玄","4","3770","1.075","665.0","2260","4,744","1,186","464,324"
"1004","天","上杉謙信","4","3690","1.1","625.0","2580","4,700","1,175","447,562"
"1005","天","毛利元就","4","3800","0.975","700.0","2245","4,184","1,046","407,360"
"1006","天","北条氏康","3.5","3490","1.025","660.0","2130","4,028","1,150","399,464"
"1007","天","徳川家康","3.5","3420","1.075","655.0","2230","4,142","1,183","402,566"
"1008","天","浅井長政","3.5","3430","1.05","635.0","2235","4,180","1,194","437,164"
"1009","天","島津義久","3.5","3460","1.025","675.0","2115","3,993","1,140","398,582"
"1010","天","長宗我部元親","3.5","3460","1.075","645.0","2240","4,190","1,197","403,845"
"1011","天","大友宗麟","3.5","3470","1","635.0","2200","3,906","1,116","395,989"
"1012","天","最上義光","3.5","3400","1.075","685.0","2145","4,223","1,206","433,286"
"1013","天","伊達政宗","4","3820","1.05","680.0","2345","4,670","1,167","455,944"
"1014","天","豊臣秀吉","3.5","3550","1.075","700.0","2140","4,300","1,228","407,679"
"1015","天","徳川家康(大人)","4","3850","1.075","670.0","2250","4,797","1,199","454,481"
"1016","天","石田三成","4","3830","1.05","660.0","2240","4,690","1,172","458,909"
"1017","天","黒田如水","3.5","3450","1.05","750.0","2150","4,089","1,168","403,412"
"1018","天","織田信長(新)","4","3750","1.05","670.0","2280","4,446","1,111","413,929"
"1019","天","足利義昭(新)","4","3730","0.975","700.0","2290","4,222","1,055","438,657"
"1020","天","武田信玄(新)","3.5","3560","1.075","670.0","2280","4,429","1,265","440,770"
"1021","天","上杉謙信(新)","3.5","3520","1.1","635.0","2590","4,441","1,268","428,374"
"1022","天","毛利元就(新)","3.5","3590","0.975","710.0","2180","3,947","1,127","398,246"
"1023","天","北条氏康(新)","4","3810","1.025","670.0","2280","4,572","1,143","459,255"
"1024","天","徳川家康(新)","1","1930","1.075","660.0","1300","2,322","2,322","339,520"
"1025","天","浅井長政(新)","4","3800","1.05","640.0","2250","4,697","1,174","469,698"
"1026","天","島津義久(新)","4","3780","1.025","680.0","2240","4,373","1,093","411,949"
"1027","天","長宗我部元親(新)","4","3790","1.075","655.0","2260","4,599","1,149","418,068"
"1028","天","大友宗麟(新)","4","3770","1","650.0","2230","4,254","1,063","408,495"
"1029","天","最上義光(新)","3.5","3580","1.075","695.0","2250","4,337","1,239","408,545"
"1030","天","伊達政宗(新)","4","3855","1","705.0","2130","4,352","1,088","412,166"
"1031","天","豊臣秀吉(新)","4","3820","1.075","680.0","2260","4,727","1,181","444,226"
"1032","天","石田三成(新)","3.5","3570","1.025","670.0","2160","4,121","1,177","402,084"
"1033","天","黒田如水(新)","4","3760","1.05","750.0","2270","4,592","1,148","452,100"
"1034","天","今川義元","4","3720","1.025","700.0","2275","4,308","1,077","410,809"
"1035","天","淀","3","3300","1.025","680.0","2230","3,854","1,284","406,690"
"1036","天","明智光秀","4","3840","1.05","710.0","2360","4,741","1,185","469,441"
"1037","天","真田昌幸","3.5","3560","1.075","680","2040","4,308","1,230","407,285"
"1038","天","雑賀孫市","3.5","3620","1.075","700","2480","4,394","1,255","410,278"
"1039","天","上杉景勝","4","3890","1.075","680.0","2300","4,934","1,233","479,009"
"1040","天","毛利輝元","4","3860","1.025","720.0","1990","4,460","1,115","415,667"
