******** ウェーバーモード：武将ランキング出力 ********
ランク/LV,★5/LV20
スキルLV,ALL10
ステ振り,兵法振4 + 攻/防振0
******* 固定3武将 *******
No,武将名,R,コスト,指揮兵数,初期スキル,効果範囲,発動率(%),上昇率(%)
1001,織田信長,天,3.5,4000,三段撃 激烈,砲攻,45.00,30.00
1001,織田信長,天,3.5,4000,三段撃 激烈,砲攻,45.00,30.00
1001,織田信長,天,3.5,4000,三段撃 激烈,砲攻,45.00,30.00
******* 追加スキル *******
追加スキル名,効果範囲,発動率(%),上昇率(%)
鉄砲隊剛撃,砲攻,30.0,20.00
三段撃 烈火,槍砲攻,15.00,(コスト×9)%
***********************************************
"No.","R","名称","C","兵数","統率","兵法","将攻/防","部隊期待値","上昇率","単将期待値","C1期待値","MAX部隊値"
"1038","天","雑賀孫市","3.5","4120","1.2","2260","12880","1,552,210","+206.35%","397,027","110,872","2,209,133"
"1039","天","上杉景勝","4","4390","1.2","1980.0","12180","1,549,840","+200.95%","415,019","106,885","2,268,513"
"1036","天","明智光秀","4","4340","1.2","2010.0","12760","1,540,050","+199.97%","408,918","106,210","2,261,535"
"1013","天","伊達政宗","4","4320","1.2","1980.0","12745","1,507,344","+193.97%","398,848","103,954","2,233,069"
"1033","天","黒田如水(新)","4","4260","1.2","2050.0","12150","1,504,916","+194.57%","394,163","103,787","2,224,943"
"1034","天","今川義元","4","4220","1.15","2000.0","12155","1,495,663","+196.69%","376,924","103,149","2,180,354"
"1026","天","島津義久(新)","4","4280","1.175","1980.0","12120","1,495,451","+193.99%","386,885","103,134","2,189,876"
"1018","天","織田信長(新)","4","4250","1.2","1970.0","12160","1,491,726","+192.16%","390,062","102,877","2,198,107"
"1015","天","徳川家康(大人)","4","4350","1.175","1970.0","12130","1,484,760","+190.66%","388,751","102,397","2,199,132"
"1028","天","大友宗麟(新)","4","4270","1.175","1950.0","12110","1,482,542","+191.63%","382,859","102,244","2,213,928"
"1001","天","織田信長","3.5","4000","1.2","1965.0","12145","1,473,075","+192.99%","368,268","105,219","2,141,825"
"1019","天","足利義昭(新)","4","4230","1.125","2000.0","12170","1,473,066","+193.63%","365,843","101,590","2,209,881"
"1031","天","豊臣秀吉(新)","4","4320","1.175","1980.0","12140","1,462,239","+186.76%","380,940","100,844","2,169,741"
"1027","天","長宗我部元親(新)","4","4290","1.125","1955.0","12140","1,462,040","+190.44%","366,862","100,830","2,167,124"
"1004","天","上杉謙信","4","4190","1.15","1925.0","13500","1,458,545","+189.74%","365,987","100,589","2,192,298"
"1008","天","浅井長政","3.5","3930","1.2","1935.0","12115","1,450,738","+189.83%","357,859","103,624","2,132,368"
"1007","天","徳川家康","3.5","3920","1.15","1955.0","12110","1,419,526","+186.72%","338,389","101,394","2,084,398"
"1020","天","武田信玄(新)","3.5","4060","1.15","1970.0","12160","1,412,131","+182.8%","345,766","100,866","2,037,348"
"1040","天","毛利輝元","4","4360","1.175","2020.0","11350","1,401,471","+174.31%","367,134","96,653","2,046,259"
"1037","天","真田昌幸","3.5","4060","1.175","2240","10880","1,399,265","+178.79%","348,014","99,947","1,987,579"
"1025","天","浅井長政(新)","4","4300","1.2","1940.0","12130","1,395,635","+172.53%","368,003","96,250","2,051,032"
"1030","天","伊達政宗(新)","4","4355","1.15","2005.0","11490","1,391,401","+173.85%","358,764","95,958","2,034,900"
"1016","天","石田三成","4","4330","1.175","1960.0","12120","1,390,945","+172.63%","362,935","95,927","2,043,389"
"1005","天","毛利元就","4","4300","1.15","2000.0","12125","1,386,247","+173.7%","354,176","95,603","2,028,475"
"1021","天","上杉謙信(新)","3.5","4020","1.15","1935.0","13510","1,382,846","+177.5%","336,451","98,774","2,008,255"
"1003","天","武田信玄","4","4270","1.15","1965.0","12140","1,378,521","+172.65%","350,417","95,070","2,024,952"
"1029","天","最上義光(新)","3.5","4080","1.2","1995.0","12130","1,371,936","+171.54%","348,030","97,995","2,000,805"
"1017","天","黒田如水","3.5","3950","1.2","2050.0","11510","1,369,016","+173.17%","338,972","97,786","1,984,649"
"1023","天","北条氏康(新)","4","4310","1.1","1970.0","12160","1,367,218","+172.8%","338,547","94,290","2,007,241"
"1035","天","淀","3","3800","1.2","1980.0","12110","1,365,765","+175.09%","328,480","101,167","1,973,563"
"1014","天","豊臣秀吉","3.5","4050","1.175","2000.0","11500","1,362,843","+171.69%","338,379","97,345","1,986,462"
"1022","天","毛利元就(新)","3.5","4090","1.15","2010.0","11540","1,360,499","+171.98%","334,919","97,178","1,980,887"
"1032","天","石田三成(新)","3.5","4070","1.175","1970.0","11520","1,360,107","+170.8%","338,992","97,150","1,988,975"
"1012","天","最上義光","3.5","3900","1.2","1985.0","11505","1,355,126","+171.24%","332,337","96,794","1,978,447"
"1009","天","島津義久","3.5","3960","1.175","1975.0","11475","1,351,602","+170.95%","329,929","96,543","1,975,458"
"1011","天","大友宗麟","3.5","3970","1.175","1935.0","12080","1,350,229","+170.5%","330,230","96,444","1,976,691"
"1010","天","長宗我部元親","3.5","3960","1.125","1945.0","12120","1,335,751","+170.55%","315,566","95,410","1,955,139"
"1006","天","北条氏康","3.5","3990","1.1","1960.0","11490","1,331,335","+170.63%","310,870","95,095","1,948,141"
"1024","天","徳川家康(新)","1","2430","1.15","1960.0","5460","1,174,071","+160.62%","191,334","102,093","1,682,610"
"1002","天","足利義昭","1","2340","1.1","1995.0","3550","1,162,478","+161.46%","176,561","101,085","1,660,622"
